id,price,order_date
1,2.30,2025-05-19T08:05:00+00:00
2,2.80,2025-05-19T09:30:00+00:00
3,2.50,2025-05-19T11:00:00+00:00
4,2.60,2025-05-19T12:20:00+00:00
5,2.35,2025-05-19T14:00:00+00:00
6,2.90,2025-05-19T15:45:00+00:00
7,2.40,2025-05-19T17:15:00+00:00
8,2.55,2025-05-20T08:10:00+00:00
9,2.70,2025-05-20T09:50:00+00:00
10,2.45,2025-05-20T11:25:00+00:00
11,2.80,2025-05-20T13:00:00+00:00
12,2.35,2025-05-20T15:10:00+00:00
13,2.60,2025-05-20T16:40:00+00:00
14,2.45,2025-05-20T18:20:00+00:00
15,2.90,2025-05-21T08:30:00+00:00
16,2.50,2025-05-21T10:05:00+00:00
17,2.70,2025-05-21T11:45:00+00:00
18,2.35,2025-05-21T13:15:00+00:00
19,2.60,2025-05-21T15:00:00+00:00
20,2.40,2025-05-21T16:30:00+00:00
21,2.55,2025-05-21T18:00:00+00:00
22,2.35,2025-05-22T08:20:00+00:00
23,2.80,2025-05-22T09:40:00+00:00
24,2.50,2025-05-22T11:10:00+00:00
25,2.65,2025-05-22T12:50:00+00:00
26,2.30,2025-05-22T14:20:00+00:00
27,2.75,2025-05-22T16:10:00+00:00
28,2.40,2025-05-22T17:55:00+00:00
29,2.55,2025-05-22T19:05:00+00:00
30,2.70,2025-05-22T19:50:00+00:00
