id,price,order_date
1,5.50,2025-05-19T08:15:00+00:00
2,7.20,2025-05-19T10:45:00+00:00
3,3.80,2025-05-19T12:30:00+00:00
4,9.10,2025-05-19T14:05:00+00:00
5,6.75,2025-05-19T16:50:00+00:00
6,11.20,2025-05-19T18:30:00+00:00
7,4.50,2025-05-20T08:00:00+00:00
8,8.00,2025-05-20T09:15:00+00:00
9,7.80,2025-05-20T11:00:00+00:00
10,10.50,2025-05-20T13:45:00+00:00
11,5.60,2025-05-20T15:30:00+00:00
12,6.90,2025-05-20T17:20:00+00:00
13,9.95,2025-05-20T19:55:00+00:00
14,3.10,2025-05-21T08:05:00+00:00
15,8.40,2025-05-21T09:45:00+00:00
16,5.00,2025-05-21T11:30:00+00:00
17,10.00,2025-05-21T12:50:00+00:00
18,7.60,2025-05-21T14:40:00+00:00
19,6.30,2025-05-21T16:10:00+00:00
20,4.80,2025-05-21T18:25:00+00:00
21,11.50,2025-05-21T19:59:00+00:00
22,9.20,2025-05-22T08:30:00+00:00
23,5.90,2025-05-22T09:55:00+00:00
24,6.40,2025-05-22T11:10:00+00:00
25,7.15,2025-05-22T12:40:00+00:00
26,10.80,2025-05-22T14:25:00+00:00
27,4.95,2025-05-22T16:35:00+00:00
28,8.30,2025-05-22T17:45:00+00:00
29,3.75,2025-05-22T19:15:00+00:00
30,5.25,2025-05-22T19:59:00+00:00
