id,price,order_date
1,1.80,2025-05-19T08:20:00+00:00
2,2.10,2025-05-19T09:50:00+00:00
3,1.95,2025-05-19T11:15:00+00:00
4,2.00,2025-05-19T12:35:00+00:00
5,1.85,2025-05-19T14:10:00+00:00
6,2.20,2025-05-19T15:50:00+00:00
7,1.75,2025-05-19T17:25:00+00:00
8,2.05,2025-05-20T08:45:00+00:00
9,1.90,2025-05-20T10:00:00+00:00
10,2.15,2025-05-20T11:40:00+00:00
11,1.85,2025-05-20T13:05:00+00:00
12,2.00,2025-05-20T15:30:00+00:00
13,1.95,2025-05-20T17:10:00+00:00
14,2.10,2025-05-20T18:40:00+00:00
15,1.80,2025-05-21T08:25:00+00:00
16,2.05,2025-05-21T10:35:00+00:00
17,1.90,2025-05-21T12:15:00+00:00
18,2.20,2025-05-21T13:45:00+00:00
19,1.75,2025-05-21T15:00:00+00:00
20,2.00,2025-05-21T16:40:00+00:00
21,1.85,2025-05-21T18:05:00+00:00
22,2.10,2025-05-22T08:30:00+00:00
23,1.95,2025-05-22T09:55:00+00:00
24,2.00,2025-05-22T11:20:00+00:00
25,1.90,2025-05-22T12:50:00+00:00
26,2.15,2025-05-22T14:15:00+00:00
27,1.85,2025-05-22T16:00:00+00:00
28,2.05,2025-05-22T17:35:00+00:00
29,1.75,2025-05-22T19:10:00+00:00
30,2.00,2025-05-22T19:50:00+00:00
